Date,Duration,Calories,MaxPulse,MinPulse,Steps,Distance,HeartRate,Temperature,Humidity,Speed,WorkoutType
2023-01-01,30,200,120,80,4000,3.2,85,22,60,6.4,Cardio
2023-01-02,45,300,130,85,6000,4.5,90,21,65,6.0,Strength
2023-01-03,60,400,140,90,8000,6.0,95,20,70,5.8,Cardio
2023-01-04,20,150,110,75,3000,2.5,80,23,55,7.0,Stretching
2023-01-05,50,350,135,88,7000,5.5,92,19,68,6.2,Cardio
2023-01-06,40,280,125,82,5000,4.0,88,22,62,6.5,Strength
2023-01-07,35,220,115,78,4500,3.8,86,24,58,6.3,Cardio
2023-01-08,55,370,138,87,7500,5.8,93,18,72,5.9,Strength
2023-01-09,25,180,118,77,3500,2.8,83,25,50,7.2,Stretching
2023-01-10,65,420,145,92,8500,6.5,97,20,75,5.7,Cardio
2023-01-11,30,210,122,81,4000,3.3,84,21,63,6.6,Strength
2023-01-12,50,340,132,86,6800,5.2,91,22,67,6.1,Cardio
2023-01-13,45,310,128,83,6200,4.7,89,23,64,6.4,Strength
2023-01-14,60,390,142,89,7800,6.2,94,19,71,5.8,Cardio
2023-01-15,20,160,112,76,3200,2.6,81,24,56,7.1,Stretching
2023-01-16,55,360,137,85,7400,5.7,92,18,69,6.0,Strength
2023-01-17,40,290,126,83,5200,4.2,87,22,61,6.4,Cardio
2023-01-18,35,230,116,79,4600,3.9,85,23,59,6.2,Strength
2023-01-19,25,190,119,78,3700,2.9,84,25,52,7.3,Stretching
2023-01-20,65,430,148,94,8700,6.8,98,20,76,5.6,Cardio
